variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
TSA,K,281.198,48, 0.453, 0.009, 0.018, 281.850 + -0.027 t, 0.000
PREC,mm d$^{-1}$,2.327,48, 0.038, 0.001, 0.002, 2.346 + -0.001 t, 0.066
ELAI,m${-2}$ m${-2}$,1.009,48, 0.040, 0.001, 0.002, 1.035 + -0.001 t, 0.008
FSDS,W m$^{-2}$,199.215,48, 0.438, 0.009, 0.018, 198.763 +  0.018 t, 0.000
FLDS,W m$^{-2}$,298.766,48, 2.498, 0.052, 0.102, 302.438 + -0.150 t, 0.000
ASA,% reflected,29.012,48, 0.228, 0.005, 0.009, 28.710 +  0.012 t, 0.000
RNET,W m$^{-2}$,72.611,48, 0.470, 0.010, 0.019, 73.179 + -0.023 t, 0.000
FSH,W m$^{-2}$,33.792,48, 0.376, 0.008, 0.015, 33.647 +  0.006 t, 0.137
ET,W m$^{-2}$,37.982,48, 0.554, 0.012, 0.023, 38.582 + -0.024 t, 0.000
FCTR,W m$^{-2}$,17.824,48, 0.484, 0.010, 0.020, 18.291 + -0.019 t, 0.000
FGEV,W m$^{-2}$,12.118,48, 0.243, 0.005, 0.010, 12.035 +  0.003 t, 0.190
FCEV,W m$^{-2}$,8.040,48, 0.179, 0.004, 0.007, 8.256 + -0.009 t, 0.000
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.956,48, 0.0255, 0.000532, 0.00104, 0.947 +  0.00033 t, 0.224
SNOWDP,m,2.288,48, 0.008, 0.000, 0.000, 2.292 + -0.000 t, 0.051
GPP,PgC y$^{-1}$,84.295,48, 2.104, 0.044, 0.086, 85.644 + -0.055 t, 0.011
NPP,PgC y$^{-1}$,34.051,48, 0.626, 0.013, 0.026, 34.146 + -0.004 t, 0.562
NEE,PgC y$^{-1}$,3.069,48, 1.832, 0.038, 0.075, 6.004 + -0.120 t, 0.000
NBP,PgC y$^{-1}$,-3.601,48, 1.853, 0.039, 0.076,-6.577 +  0.121 t, 0.000
BTRANMN,unitless,0.577,48, 0.00342, 7.13e-05, 0.00014, 0.574 +  0.000138 t, 3.92e-05
TOTVEGC,PgC,427.283,48, 31.006, 0.646, 1.266, 479.469 + -2.130 t, 0.000
TOTECOSYSC,gC/m^2,19261.677,48, 321.380, 6.695, 13.123, 19815.929 + -22.623 t, 0.000
TOTSOMC_1m,PgC,1579.649,48, 9.500, 0.198, 0.388, 1596.411 + -0.684 t, 0.000
ALTMAX,m,32.270,48, 0.205, 0.004, 0.008, 31.948 +  0.013 t, 0.000
FAREA_BURNED,s-1,2.85e-09,48, 2.02e-10, 4.21e-12, 8.25e-12, 2.93e-09 + -3.38e-12 t, 0.113
DSTFLXT,Pg y$^{-1}$,8.278,48, 0.333, 0.007, 0.014, 8.148 +  0.005 t, 0.131
MEG_isoprene,Tg y$^{-1}$,412.414,48, 44.331, 0.924, 1.810, 451.807 + -1.608 t, 0.000
